column,dtype,missing_count,missing_ratio,unique_values,mean,std,min,max
race,object,2273,0.022335554114340742,5,,,,
gender,object,0,0.0,3,,,,
age_midpoint,float64,0,0.0,10,65.96702238468644,15.940837693292881,5.0,95.0
admission_type_id,int64,0,0.0,8,2.024006053102215,1.4454028297561203,1.0,8.0
discharge_disposition_id,int64,0,0.0,26,3.7156417664052825,5.280165509299271,1.0,28.0
admission_source_id,int64,0,0.0,17,5.754436648782501,4.064080834283899,1.0,25.0
time_in_hospital,int64,0,0.0,14,4.395986871843248,2.985107767471267,1.0,14.0
num_lab_procedures,int64,0,0.0,118,43.09564098028811,19.674362249142124,1.0,132.0
num_procedures,int64,0,0.0,7,1.339730361810428,1.7058069791211592,0.0,6.0
num_medications,int64,0,0.0,75,16.021844230882614,8.127566209167284,1.0,81.0
number_outpatient,int64,0,0.0,39,0.36935715268360747,1.267265096532678,0.0,42.0
number_emergency,int64,0,0.0,33,0.19783621248747127,0.9304722684224636,0.0,76.0
number_inpatient,int64,0,0.0,21,0.635565906098304,1.2628632900973233,0.0,21.0
number_diagnoses,int64,0,0.0,16,7.422606764538254,1.9336001449974285,1.0,16.0
total_prior_visits,int64,0,0.0,47,1.2027592712693826,2.2917810232230784,0.0,80.0
inpatient_visit_ratio,float64,0,0.0,172,0.1704240908722208,0.2579085899740358,0.0,0.95
medications_per_day,float64,0,0.0,523,3.4853674370359706,1.9607983656031722,0.07692307692307693,21.0
age_over_65,int64,0,0.0,2,0.6735157125169506,0.46892905464990403,0.0,1.0
A1Cresult,object,84748,0.8327732248491637,3,,,,
max_glu_serum,object,96420,0.9474677200636755,3,,,,
insulin,object,0,0.0,4,,,,
change,object,0,0.0,2,,,,
diabetesMed,object,0,0.0,2,,,,
flag_diabetes,bool,0,0.0,2,0.37364149126427293,0.4837724950995669,0.0,1.0
flag_heart_failure,bool,0,0.0,2,0.1716093783778472,0.3770424333820019,0.0,1.0
flag_kidney_disease,bool,0,0.0,2,0.03868679126623823,0.19284835726234395,0.0,1.0
flag_copd,bool,0,0.0,2,0.10607668573000806,0.3079372570387276,0.0,1.0
readmitted_30d,int64,0,0.0,2,0.11159915885462728,0.3148741984505552,0.0,1.0
